program,unit,unit_status,unit_week_start,unit_week_end,title,description,task_type,priority,sequence_order,estimated_minutes,xp_reward,is_boss_fight,medium,dependency_mode,day_of_week_hint,resource_url,workbook_pages,ufa_eligible,ufa_hours_credit,source_key
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 5,,reading,core,9,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 5),,project,core,10,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 6,,reading,core,11,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 6),,project,core,12,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 7,,reading,core,13,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 7),,project,core,14,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 8,,reading,core,15,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 8),,project,core,16,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 9,,reading,core,17,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 9),,project,core,18,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 10,,reading,core,19,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 10),,project,core,20,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,TT Vol 3 Ch 11,,reading,core,21,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT Vol 3,planned,,,Tuttle Twins Civics & Discussion (TT Vol 3 Ch 11),,project,core,22,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT — Year-End Synthesis,planned,34,36,Tuttle Series Synthesis,,reading,core,1,20,10,no,offline,teacher_led,,https://tuttletwins.com/,,yes,0.25,
Tuttle Twins,TT — Year-End Synthesis,planned,,,Tuttle Twins Civics & Discussion (Tuttle Series Synthesis),,project,core,2,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT — Year-End Synthesis,planned,,,History Timeline,,project,core,3,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT — Year-End Synthesis,planned,,,Tuttle Twins Civics & Discussion (History Timeline),,project,core,4,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT — Year-End Synthesis,planned,,,History & Logic Annual Portfolios,,reading,core,5,20,10,no,offline,teacher_led,,,,yes,0.25,
Tuttle Twins,TT — Year-End Synthesis,planned,,,Tuttle Twins Civics & Discussion (History & Logic Annual Portfolios),,project,core,6,20,10,no,offline,teacher_led,,,,yes,0.25,
